period,state,price,sales
2024-05-01,Alabama,14.73,2532.77
2024-05-01,Minnesota,15.69,1571.57
2024-05-01,Michigan,19.44,2477.25
2024-05-01,Massachusetts,28.7,1446.62
2024-05-01,Maryland,17.63,1858.94
2024-05-01,Maine,20.48,386.79
2024-05-01,Louisiana,11.49,2325.59
2024-05-01,Kentucky,12.94,1895.03
2024-05-01,Kansas,14.14,982.47
2024-05-01,Iowa,14.23,999.78
2024-05-01,Indiana,15.27,2326.71
2024-05-01,Illinois,16.71,3606.0
2024-05-01,Idaho,11.55,634.93
2024-05-01,Hawaii,44.14,211.29
2024-05-01,Georgia,14.92,4651.43
2024-05-01,Florida,13.63,12160.44
2024-05-01,District of Columbia,17.76,172.0
2024-05-01,Delaware,17.27,325.15
2024-05-01,Connecticut,26.76,882.42
2024-05-01,Colorado,14.74,1476.2
2024-05-01,U.S. Total,16.43,109075.79
2024-05-01,Pacific Noncontiguous,36.22,360.78
2024-05-01,Pacific Contiguous,25.07,9340.16
2024-05-01,Mountain,14.44,8161.82
2024-05-01,West South Central,13.85,17928.66
2024-05-01,East South Central,13.44,8769.39
2024-05-01,South Atlantic,14.46,30003.21
2024-05-01,West North Central,13.73,7305.29
2024-05-01,East North Central,17.07,13596.32
2024-05-01,Middle Atlantic,20.02,10207.89
2024-05-01,New England,26.4,3402.27
2024-05-01,Wyoming,12.81,202.44
2024-05-01,Wisconsin,17.82,1534.26
2024-05-01,West Virginia,15.98,683.88
2024-05-01,Washington,12.16,2717.96
2024-05-01,Virginia,15.02,3108.71
2024-05-01,Vermont,22.3,151.17
2024-05-01,Utah,11.01,769.59
2024-05-01,Texas,14.74,12605.56
2024-05-01,Tennessee,12.46,2950.8
2024-05-01,South Dakota,13.63,337.73
2024-05-01,South Carolina,14.07,2475.56
2024-05-01,Rhode Island,28.09,209.02
2024-05-01,Pennsylvania,18.1,4692.62
2024-05-01,Oregon,15.03,1351.71
2024-05-01,Oklahoma,11.7,1762.63
2024-05-01,Ohio,16.65,3652.1
2024-05-01,North Dakota,13.04,304.48
2024-05-01,North Carolina,14.18,4567.11
2024-05-01,New York,23.6,3370.65
2024-05-01,New Mexico,13.84,520.53
2024-05-01,New Jersey,18.58,2144.63
2024-05-01,New Hampshire,23.01,326.24
2024-05-01,Nevada,16.18,1070.87
2024-05-01,Nebraska,12.22,678.39
2024-05-01,Montana,13.26,395.94
2024-05-01,Missouri,12.62,2430.87
2024-05-01,Mississippi,13.86,1390.78
2024-05-01,California,34.31,5270.49
2024-05-01,Arkansas,12.27,1234.88
2024-05-01,Arizona,15.5,3091.32
2024-05-01,Alaska,25.02,149.49
2024-04-01,South Atlantic,15.0,24513.14
2024-04-01,Louisiana,12.08,1792.78
2024-04-01,Kentucky,13.0,1682.87
2024-04-01,Kansas,14.38,820.1
2024-04-01,Iowa,13.1,1033.92
2024-04-01,Indiana,15.33,2132.79
2024-04-01,Illinois,16.68,2813.0
2024-04-01,Idaho,11.45,662.8
2024-04-01,Hawaii,45.19,195.44
2024-04-01,Georgia,14.1,3841.53
2024-04-01,Florida,14.65,9148.37
2024-04-01,District of Columbia,17.85,156.1
